Abbreviation,Name,Reaction,GPR,Genes,Protein,Subsystem,Reversible,Lower bound,Upper bound,Objective,Confidence score,E.C. number,Notes,References
ATPSu,ATP synthetase(u),3 adp[c] + 3 pi[c] + 14 h[u]  -> 3 atp[c] + 11 h[c] + 3 h2o[c] ,,,,Photosynthesis,0,,,0,4,3.6.3.14,,
polyphosphate phosphotransferase,,[c] : atp + ppi => adp + pppi,,,,Photosynthesis,0,,,0,0,2.7.4.1 ,check!,
hydrogen:NADP+ oxidoreductase,,[c] : H2 + nadp => h + nadph ,,,,Photosynthesis,0,,,0,0,1.12.1.3,check!,
cyclicPS,,[c] : fdxrd + PQ + 2 h => fdxox + PQH2,,,,Photosynthesis,0,,,0,0,,check!,
NDH1,,2 nadph[c] + PQ[c] + 2 h[c] => 2 nadp[c] + PQH2[c] + 2 h[u],,,,Photosynthesis,0,,,0,0,,Skizim 2011,
NDH1,,2 nadh[c] + PQ[c] + 2 h[c] => 2 nad[c] + PQH2[c] + 2 h[u],,,,,0,,,0,0,,Skizim 2011,
NDH2,,[c] : 2 nadh + PQ => 2 nad + PQH2,,,,,0,,,0,0,,Skizim 2011,
4-hydroxyphenylpyruvate dioxygenase,,[c] : 34hpp + o2 => homogentisate + co2,,,,PQ synthesis,0,,,0,4,1.13.11.27,,
solanesyl-PP/Nonaprenyl-PP synthase,,[c] : ggdp + 7 ipdp => nndp + 7 ppi ,,,,PQ synthesis,0,,,0,4,2.5.1.84,,
HST,,[c] : homogentisate + nndp => msbq + ppi + co2,UbiA (A0703) ,A0703,UbiA,PQ synthesis,0,,,0,0,HST,gene not found in syp7002,
VTE3,,[c] : msbq + amet => PQ + ahcys ,,,,PQ synthesis,0,,,0,0,VTE3,gene not found in syp7002,
ArAT,L-arogenate:2-oxoglutarate aminotransferase,[c] : oaa + CPD-659 <=> asp-L + pphn,,,,,1,,,0,1,,,
bio07035,Biomass,[c] : 0.00451 Chlorophyll a + 0.91805 glycogen + 0.0383 hdca + 0.00942 hdcea + 0.0140 ocdca + 0.0128 ocdcea + 0.00282 C18:2 + 0.00984 C18:3 + 0.166 phe-L + 0.463 leu-L + 0.250 ser-L + 0.120 tyr-L + 0.041 cys-L + 0.061 trp-L + 0.210 pro-L + 0.081 hisp + 0.236 gln-L + 0.215 arg-L + 0.257 ile-L + 0.077 met-L + 0.237 thr-L + 0.153 asn-L + 0.171 lys-L + 0.262 val-L + 0.367 ala-L + 0.212 asp-L + 0.252 glu-L + 0.288 gly + 0.00333 amp + 0.00328 ump + 0.00329 gmp + 0.00340 cmp + 0.0138 datp + 0.0138 dttp + 0.0133 dgtp + 0.0133 dctp + 202.0 atp + 202.0 h2o => 1 Biomass + 202.0 adp + 202.0 h + 202.0 pi,,,,,0,,,1,0,,,
ATPM,ATP maintenance requirement,atp[c] + h2o[c]  -> adp[c] + h[c] + pi[c] ,,,,,0,9.16,,0,0,,,
C16:1 Synthesis 1,,[c] : hedacp + nadph + o2 => hdeACP + nadp + h + 2 h2o,,,,Lipid Biosynthesis,0,,,0,0,1.14.19.2,needs improvement,
C16:1 Synthesis 2,,[c] : coa + hdeACP <=> hdcoa + ACP,,,,Lipid Biosynthesis,1,,,0,0,,needs improvement,
C18:1 Synthesis 1,,[c] : ocdACP + nadph + o2 => octeACP + nadp + h + 2 h2o,,,,Lipid Biosynthesis,0,,,0,0,1.14.19.2,needs improvement,
C18:1 Synthesis 2,,[c] : octeACP + h2o => ACP + ocdcea,,,,Lipid Biosynthesis,0,,,0,0,3.1.2.14,needs improvement,
C18:2 Synthesis 1,,[c] : octeACP + nadph + o2 => C18:2-ACP + nadp + h + 2 h2o,,,,Lipid Biosynthesis,0,,,0,0,1.14.19.2,needs improvement,
C18:2 Synthesis 2,,[c] : C18:2-ACP + h2o => ACP + C18:2,,,,Lipid Biosynthesis,0,,,0,0,3.1.2.14,needs improvement,
C18:3 Synthesis 1,,[c] : C18:2-ACP + nadph + o2 => C18:3-ACP + nadp + h + 2 h2o,,,,Lipid Biosynthesis,0,,,0,0,1.14.19.2,needs improvement,
C18:3 Synthesis 2,,[c] : C18:3-ACP + h2o => ACP + C18:3,,,,Lipid Biosynthesis,0,,,0,0,3.1.2.14,needs improvement,
CCL,Cystathionine cysteine-lyase,[c] : Cystathionine + h2o <=> cys-L + nh4 + 2obut,,,,Cysteine and Methionine Metabolism,1,,,0,1,4.4.1.1,no known ORF has been detected,
CHL,Cystathionine Homocysteine-lyase,[c] : Cystathionine + h2o <=> hcys-L + nh4 + pyr,,,,Cysteine and Methionine Metabolism,1,,,0,1,4.4.1.8,no known ORF has been detected,
SbtA,,na1[e] + hco3[e] => na1[c] + hco3[c],,,,,0,,,0,2,,Price2004,
na1 transporter,,na1[c] + atp[c] => na1[e] + adp[c] + pi[c],,,,,0,,,0,0,,gene not found,
GRGR,geranylgeranyl reductase,[c] : ggdp + 3 nadph + 3 h => Phytyl diphosphate + 3 nadp,Ggr (A2476) ,A2476,Ggr,Terpenoid Backbone Biosynthesis,0,,,0,2,1.3.1.83,,
L-asparagine synthetase,,[c] : atp + asp-L + nh4 => amp + ppi + asn-L,,,,,0,,,0,0,6.3.1.1,gene not found in syp7002,
EX_h2o[e],,[e] : h2o <=>,,,,,1,-10000,10000,0,0,,,
EX_o2[e],,[e] : o2 <=>,,,,,1,-10000,10000,0,0,,,
EX_pi[e],,[e] : pi <=>,,,,,1,-10000,10000,0,0,,,
EX_co2[e],,[e] : co2 <=>,,,,,1,-6.9,10000,0,0,,,
EX_mn2[e],,[e] : mn2  <=>,,,,,1,-10000,10000,0,0,,,
EX_zn2[e],,[e] : zn2  <=>,,,,,1,-10000,10000,0,0,,,
EX_so4[e],,[e] : so4  <=>,,,,,1,-10000,10000,0,0,,,
EX_cu2[e],,[e] : cu2  <=>,,,,,1,-10000,10000,0,0,,,
EX_ca2[e],,[e] : ca2  <=>,,,,,1,-10000,10000,0,0,,,
EX_h[e],,[e] : h <=>,,,,,1,0,10000,0,0,,,
EX_no2[e],,[e] : no2 <=>,,,,,1,0,0,0,0,,,
EX_cl[e],,[e] : cl  <=>,,,,,1,-10000,10000,0,0,,,
COBALTt5,cobalt transport in/out via permease (no H+),cobalt2[c] <=> cobalt2[e],MgtE (A0273) ,A0273,MgtE,Transport,1,-10000,10000,0,1,,,
EX_glycogen[e],,[e] : glycogen <=>,,,,,1,0,0,0,0,,,
EX_k[e],,[e] : k  <=>,,,,,1,-10000,10000,0,0,,,
EX_no3[e],,[e] : no3  <=>,,,,,1,-10000,10000,0,0,,,
EX_hco3[e],,[e] : hco3 <=>,,,,,1,0,10000,0,0,,,
EX_mg2[e],,[e] : mg2  <=>,,,,,1,-10000,10000,0,0,,,
EX_spmd[e],,[e] : spmd <=>,,,,,1,0,0,0,0,,,
EX_Vitamin K1[e],,[c] : Vitamin K1 <=>,,,,,1,0,10000,0,0,,look for downstream pathway,
EX_Vitamin B12[e],,[e] : Vitamin B12  <=>,,,,,1,-10000,10000,0,0,,,
EX_fe2[e],,[e] : fe2 <=>,,,,,1,0,10000,0,0,,,
EX_fe3[e],,[e] : fe3  <=>,,,,,1,-10000,10000,0,0,,,
EX urea,,[e] : urea <=>,,,,,1,0,0,0,0,,,
EX_Biomass[c],,[c] : Biomass =>,,,,,0,,,0,0,,,
EX_mobd[e],,[e] : mobd <=>,,,,,1,-10000,10000,0,0,,,
EX_H2[e],,[e] : H2 <=>,,,,,1,-10000,10000,0,0,,,
EX_photonI[e],,[e] : photonI <=>,,,,,1,-10000,0,0,0,,,
EX_photonII[e],,[e] : photonII <=>,,,,,1,-10000,0,0,0,,,
ilva,L-serine ammonia-lyase,[c] : ser-L <=> pyr + nh4,,,,Serine Synthesis,1,,,0,2,4.3.1.19,"ORF found, but assigned with different enzymatic function in the rough model",
R1,MtnE,[c] : 2kmb + glu5p <=> met-L + akg,,,,,1,,,0,1,,,
rxn 99998,HemY oxygen-dependent protoporphyrinogen oxidase,[c] : pppg9 + 3 o2 => ppp9 + 3 h2o2,,,,,0,,,0,1,1.3.3.4,"chlorophyll a synthesis, unpresent in Genome, has another pathway HemG, need check",
rxn 99999,chlorophyllide-a: NADP+ oxidoreductase,[c] : Divinyl chlorophyllide a + nadph + h => Chlorophyllide + nadp,,,,,0,,,0,0,1.3.1.75,,
rxn00001,Pyrophosphate phosphohydrolase,[c] : h2o + ppi => 2 pi + 2 h,,A1228,,,0,,,0,2,3.6.1.1,http://www.ncbi.nlm.nih.gov/pubmed/16747821,
rxn00006,hydrogen-peroxide:hydrogen-peroxide oxidoreductase,[c] : 2 h2o2 => 2 h2o + o2,,does not have this gene,,,0,,,0,2,1.11.1.6,http://www.ncbi.nlm.nih.gov/pubmed/16748386,
rxn00011,pyruvate:thiamin diphosphate acetaldehydetransferase,[c] : pyr + thmpp + h => co2 + 2-Hydroxyethyl-ThPP,,A0353,,,0,,,0,2,1.2.4.1|2.2.1.6|4.1.1.1,,
rxn00016,Hexosaminidase,[c] : h2o + chitob => 2 acgam,,Does not have this gene,,,0,,,0,2,3.2.1.52,http://www.ncbi.nlm.nih.gov/pubmed/2529847,
rxn00018,"D-Ribulose 1,5-bisphosphate carboxy-lyase (dimerizing)",[c] : h2o + co2 + rb15bp => 2 h + 2 3pg,,A1796,,,0,,,0,2,4.1.1.39,http://www.ncbi.nlm.nih.gov/pubmed/4331471,
rxn00029,5-Aminolevulinate hydro-lyase(adding 5-aminolevulinate and,[c] : 2 5aop => 2 h2o + h + ppbng,,A1753,,,0,,,0,2,4.2.1.24,http://www.ncbi.nlm.nih.gov/pubmed/13276347,
rxn00048,"6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)",[c] : 2 dmlz => ribflv + 4r5au,,A2264,,,0,,,0,2,2.5.1.9,http://www.ncbi.nlm.nih.gov/pubmed/13944007,
rxn00056,Fe(II):oxygen oxidoreductase,[c] : o2 + 4 h + 4 fe2 => 2 h2o + 4 fe3,,does not have this gene,,,0,,,0,2,1.16.3.1,http://www.ncbi.nlm.nih.gov/pubmed/5925868,
rxn00060,Porphobilinogen ammonia-lyase (polymerizing),[c] : h2o + 4 ppbng => 4 nh4 + hmbil,,A1610,,,0,,,0,2,2.5.1.61|4.3.1.8,http://www.ncbi.nlm.nih.gov/pubmed/6769048,
rxn00062,ATP phosphohydrolase (protein-secreting),[c] : h2o + atp => adp + pi + h,,,,,0,,,0,2,3.6.1.3|3.6.1.5|3.6.1.8|3.6.1.15|3.6.3.1|3.6.3.2|3.6.3.3|3.6.3.4|3.6.3.5|3.6.3.6|3.6.3.7|3.6.3.8|3.6.3.9|3.6.3.10|3.6.3.11|3.6.3.12|3.6.3.14|3.6.3.15|3.6.3.16|3.6.3.17|3.6.3.18|3.6.3.19|3.6.3.20|3.6.3.21|3.6.3.22|3.6.3.23|3.6.3.24|3.6.3.25|3.6.3.26|3.6.3.27|3.6.3.28|3.6.3.29|3.6.3.30|3.6.3.31|3.6.3.32|3.6.3.33|3.6.3.34|3.6.3.35|3.6.3.36|3.6.3.37|3.6.3.38|3.6.3.39|3.6.3.40|3.6.3.41|3.6.3.42|3.6.3.43|3.6.3.44|3.6.3.46|3.6.3.47|3.6.3.48|3.6.3.49|3.6.3.50|3.6.3.51|3.6.3.52|3.6.3.53|3.6.4.1|3.6.4.2|3.6.4.3|3.6.4.4|3.6.4.5|3.6.4.6|3.6.4.7|3.6.4.8|3.6.4.9|3.6.4.10|3.6.4.11|3.6.1.-,,
rxn00065,ATP pyrophosphate-lyase (cyclizing),[c] : atp => ppi + camp,,A0909,,,0,,,0,2,4.6.1.1,http://www.ncbi.nlm.nih.gov/pubmed/4295782,
rxn00077,ATP:NAD+ 2'-phosphotransferase,[c] : atp + nad => nadp + adp,,A0217,,,0,,,0,2,2.7.1.23,http://www.ncbi.nlm.nih.gov/pubmed/6290285,
rxn00100,ATP:dephospho-CoA 3'-phosphotransferase,[c] : atp + dpcoa => adp + coa,,A2714,,,0,,,0,2,2.7.1.24,,
rxn00101,Urea amidohydrolase,[c] : h2o + 2 h + urea => co2 + 2 nh4,,A0193,,,0,,,0,2,3.5.1.5,http://www.ncbi.nlm.nih.gov/pubmed/769157,
rxn00102,Carbonic acid hydro-lyase,[c] : h + hco3 <=> h2o + co2,,A1096,,,1,,,0,2,4.2.1.1,,
rxn00105,ATP:nicotinamide-nucleotide adenylyltransferase,[c] : atp + nmn <=> nad + ppi,,A0878,,,1,,,0,2,2.7.7.1|2.7.7.18,http://www.ncbi.nlm.nih.gov/pubmed/13684981,
rxn00117,ATP:nucleoside-diphosphate phosphatransferase,[c] : atp + udp <=> adp + utp,,A0814,,,1,,,0,2,2.7.4.6,http://www.ncbi.nlm.nih.gov/pubmed/13211603,
rxn00119,ATP:nucleoside-phosphate phosphotransferase,[c] : atp + ump <=> adp + udp,A0343(PanC) and A0953 (PyrH),A0343 and A0953,PanC and PyrH,,1,,,0,2,2.7.4.4|2.7.4.14|2.7.4.22|2.7.4.-,http://www.ncbi.nlm.nih.gov/pubmed/13363863,
rxn00122,ATP:FMN adenylyltransferase,[c] : atp + fmn => ppi + fad,,A2398,,,0,,,0,2,2.7.7.2,http://www.ncbi.nlm.nih.gov/pubmed/13828163,
rxn00126,ATP:L-methione S-adenosyltransferase,[c] : h2o + atp + met-L => pi + ppi + amet,,A1714,,,0,,,0,2,2.5.1.6,http://www.ncbi.nlm.nih.gov/pubmed/13084611,
rxn00127,S-Adenosyl-L-methionine carboxy-lyase,[c] : amet + h => co2 + ametam,,does not have this gene,,,0,,,0,2,4.1.1.50,http://www.ncbi.nlm.nih.gov/pubmed/3546296,
rxn00132,Adenosine 5'-monophosphate phosphohydrolase,[c] : h2o + amp => pi + h + adn,,A0492,,,0,,,0,2,3.1.3.5|3.1.3.5),http://www.ncbi.nlm.nih.gov/pubmed/16746659,
rxn00137,"Adenosine 3',5'-bisphosphate 3'(2')-phosphohydrolase",[c] : h2o + pap => pi + amp + h,,A0034,,,0,,,0,2,3.1.3.7,http://www.ncbi.nlm.nih.gov/pubmed/4313079,
rxn00138,Deamino-NAD+:ammonia ligase (AMP-forming),[c] : atp + nh4 + dnad => nad + ppi + amp,,A1784,,,0,,,0,2,6.3.1.5,http://www.ncbi.nlm.nih.gov/pubmed/4290215,
rxn00139,AMP:pyrophosphate phosphoribosyltransferase,[c] : ppi + amp <=> prpp + ade,,A2549,,,1,,,0,2,2.4.2.7|2.4.2.8,http://www.ncbi.nlm.nih.gov/pubmed/13475309,
rxn00141,S-Adenosyl-L-homocysteine hydrolase,[c] : h2o + ahcys => hcys-L + adn,,A2069,,,0,,,0,2,3.3.1.1,http://www.ncbi.nlm.nih.gov/pubmed/13641268,
rxn00146,(R)-Lactate:ferricytochrome-c 2-oxidoreductase,[c] : 2 ficytc + lac-D => pyr + 2 h + 2 focytc,,does not have either gene,,,0,,,0,2,1.1.2.4|1.1.2.5,http://www.ncbi.nlm.nih.gov/pubmed/13950255,
rxn00147,"ATP:pyruvate,water phosphotransferase",[c] : h2o + atp + pyr => pi + amp + pep + h,,A0250,,,0,,,0,2,2.7.9.2,http://www.ncbi.nlm.nih.gov/pubmed/4319237,
rxn00148,ATP:pyruvate O2-phosphotransferase,[c] : adp + pep => atp + pyr,,A1658,,,0,,,0,2,2.7.1.40,http://www.ncbi.nlm.nih.gov/pubmed/14907737,
rxn00161,(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating),[c] : nadp + mal-L <=> nadph + co2 + pyr,,A0448,,,1,,,0,2,1.1.1.38|1.1.1.39|1.1.1.40|4.1.1.3,http://www.ncbi.nlm.nih.gov/pubmed/14917678,
rxn00175,Acetate:CoA ligase (AMP-forming),[c] : atp + coa + ac + h => ppi + amp + accoa,,A1838,,,0,,,0,2,6.2.1.1,http://www.ncbi.nlm.nih.gov/pubmed/12980945,
rxn00187,L-Glutamate:ammonia ligase (ADP-forming),[c] : atp + nh4 + glu-L => adp + pi + gln-L + h,,A0246,,,0,,,0,2,6.3.1.2,http://www.ncbi.nlm.nih.gov/pubmed/13061404,
rxn00190,Deamido-NAD+:L-glutamine amido-ligase (AMP-forming),[c] : h2o + atp + gln-L + dnad => nad + ppi + amp + glu-L,,A1784,,,0,,,0,2,6.3.5.1,http://www.ncbi.nlm.nih.gov/pubmed/13717628,
rxn00192,Acetyl-CoA:L-glutamate N-acetyltransferase,[c] : accoa + glu-L => coa + h + acglu,,A1130,,,0,,,0,2,2.3.1.1,http://www.ncbi.nlm.nih.gov/pubmed/16589365,
rxn00193,L-Glutamate racemase,[c] : glu-L <=> glu-D,,A0579,,,1,,,0,2,5.1.1.3,http://www.ncbi.nlm.nih.gov/pubmed/13828348,
rxn00199,Oxalosuccinate:NADP+ oxidoreductase (decarboxylating),[c] : h + oxasucc <=> co2 + akg,,A0838,,,1,,,0,2,1.1.1.42,http://www.ncbi.nlm.nih.gov/pubmed/13363868,
rxn00205,Glutathione:hydrogen-peroxide oxidoreductase,[c] : h2o2 + 2 gthrd => 2 h2o + gthox,,A0117,,,0,,,0,2,1.11.1.9,http://www.ncbi.nlm.nih.gov/pubmed/6227287,
rxn00206,Superoxide:superoxide oxidoreductase,[c] : 2 o2s <=> o2 + h2o2,,???,,,1,,,0,2,1.15.1.1,http://www.ncbi.nlm.nih.gov/pubmed/4324341,
rxn00208,Pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating),[c] : h2o + o2 + pyam5p => nh4 + pydx5p + h2o2,,A2591,,,0,,,0,2,1.4.3.5,http://www.ncbi.nlm.nih.gov/pubmed/6822512,
rxn00209,Pyridoxine 5-phosphate:oxygen oxidoreductase (deaminating),[c] : o2 + pdx5p <=> pydx5p + h2o2,,A2591,,,1,,,0,2,1.4.3.5,http://www.ncbi.nlm.nih.gov/pubmed/6822512,
rxn00211,UDPglucose:NAD+ oxidoreductase,[c] : h2o + 2 nad + udpg <=> 2 nadh + 3 h + udpglcur,,A2340,,,1,,,0,2,1.1.1.22,http://www.ncbi.nlm.nih.gov/pubmed/1091296,
rxn00214,UDPglucose 4-epimerase,[c] : udpg <=> udpgal,,A1715,,,1,,,0,2,5.1.3.2,http://www.ncbi.nlm.nih.gov/pubmed/13057717,
